,Unnamed: 0,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss
87,88,CNN-382,32.0,0.9,0.999,True,0.0,19.0,7.0,cuda,,2.0,,0.1514973640441894,0.0,0.0089080771431326,0.0,0.0005261165603559,,,M5(),0.2236929237842559,1.0,QHAdam,,,0.0,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0005615543479451,0.9003593921661377,0.4209162592887878
88,89,CNN-255,500.0,0.9,0.999,,,,,cuda,0.1,50.0,0.9,,,,,0.001,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eaf1c4_47.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.9297000169754028,0.2757317721843719
89,90,CNN-269,500.0,0.9,0.999,,,,,cuda,0.1,1.0,0.9,,,,,1e-05,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eaf1c4_47.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.918200135231018,0.6675712466239929
90,91,CNN-191,64.0,0.9,0.999,,,,,cpu,0.1,5.0,0.9,,,,,0.002,ExponentialLR,,M7S1(),0.7,1.0,QHAdam,,,,,mlxa/CNN,False,None,train_v2.bin,,val_v2.bin,1e-06,0.1335998177528381,2.2989261150360107
91,92,CNN-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,93,CNN-271,500.0,0.9,0.999,,,,,cuda,0.1,10.0,0.9,,,,,0.0001,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eb0a80_0.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
93,94,CNN-237,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"load_from_zoo(""Densenet161(10)_61eae67e_49.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.7860001921653748,0.6930561065673828
94,95,CNN-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,96,CNN-241,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"VotingEnsemble(['load_from_zoo(M3()_#CNN-172_36.p)', 'load_from_zoo(M3()_#CNN-229_29.p)', 'load_from_zoo(M7()_61ead6cd_final.p)', 'load_from_zoo(M7()_61ead348_2.p)'], [1, 1, 1, 1])",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
96,97,CNN-187,64.0,0.9,0.999,,,,,cpu,0.1,5.0,0.9,,,,,0.002,ExponentialLR,,M7S1(),0.7,1.0,QHAdam,,,,,mlxa/CNN,False,None,train_v2.bin,,val_v2.bin,1e-06,0.1131904125213623,2.300780296325684
